Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.20     0.00     3745     0.00     0.00  __gnu_cxx::new_allocator<Wolf>::_M_max_size() const
  0.00      0.20     0.00     3660     0.00     0.00  bool __gnu_cxx::operator!=<Patch const*, std::vector<Patch, std::allocator<Patch> > >(__gnu_cxx::__normal_iterator<Patch const*, std::vector<Patch, std::allocator<Patch> > > const&, __gnu_cxx::__normal_iterator<Patch const*, std::vector<Patch, std::allocator<Patch> > > const&)
  0.00      0.20     0.00     3660     0.00     0.00  Patch* std::__addressof<Patch>(Patch&)
  0.00      0.20     0.00     3600     0.00     0.00  Patch::setCountdown(int)
  0.00      0.20     0.00     3600     0.00     0.00  __gnu_cxx::__normal_iterator<Patch const*, std::vector<Patch, std::allocator<Patch> > >::operator++()
  0.00      0.20     0.00     3600     0.00     0.00  __gnu_cxx::__normal_iterator<Patch const*, std::vector<Patch, std::allocator<Patch> > >::operator*() const
  0.00      0.20     0.00     3600     0.00     0.00  void std::_Construct<Patch, Patch const&>(Patch*, Patch const&)
  0.00      0.20     0.00     3600     0.00     0.00  Patch const& std::forward<Patch const&>(std::remove_reference<Patch const&>::type&)
  0.00      0.20     0.00     2816     0.00     0.00  std::_Vector_base<Wolf, std::allocator<Wolf> >::_M_get_Tp_allocator()
  0.00      0.20     0.00     2758     0.00     0.00  __gnu_cxx::new_allocator<Sheep>::max_size() const
  0.00      0.20     0.00     2758     0.00     0.00  std::_Vector_base<Sheep, std::allocator<Sheep> >::_M_get_Tp_allocator() const
  0.00      0.20     0.00     2758     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::max_size() const
  0.00      0.20     0.00     2758     0.00     0.00  std::allocator_traits<std::allocator<Sheep> >::max_size(std::allocator<Sheep> const&)
  0.00      0.20     0.00     2758     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::_S_max_size(std::allocator<Sheep> const&)
